# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.310900050511e-10       1.399811851978e-14      -6.526850217557e-14       5.755696007939e-15       8.507645658573e-11       8.857662599897e-12      -7.426165611459e-15 
   41       2.326920607721e-10       1.491408014213e-14      -8.534580116073e-14       5.962017344513e-15       8.087135150019e-11       8.445880380299e-12      -6.837424254968e-15 
   42       2.343046556240e-10       1.586702523560e-14      -1.067059778389e-13       6.167614028631e-15       7.694622927115e-11       8.062376238823e-12      -6.501725443070e-15 
   43       2.359147724479e-10       1.685709682870e-14      -1.292532614547e-13       6.372321941538e-15       7.325874908433e-11       7.704643569261e-12      -6.532349860645e-15 
   44       2.375305168127e-10       1.788477909127e-14      -1.530236508146e-13       6.575801913143e-15       6.980323972705e-11       7.371857534362e-12      -6.879100154270e-15 
   45       2.391630055904e-10       1.895065246824e-14      -1.780994321516e-13       6.777648291720e-15       6.657618400372e-11       7.062720666973e-12      -7.428385462889e-15 
   46       2.408191823250e-10       2.005530065578e-14      -2.045771245124e-13       6.977429481375e-15       6.356248177793e-11       6.774577342196e-12      -8.040489596070e-15 
   47       2.425013815055e-10       2.119931136259e-14      -2.325684244952e-13       7.174686459623e-15       6.073454687201e-11       6.503311964011e-12      -8.548040876930e-15 
   48       2.442089587602e-10       2.238312835845e-14      -2.621716279533e-13       7.368981881432e-15       5.806080032687e-11       6.244537912410e-12      -8.801758118476e-15 
   49       2.459447415377e-10       2.360655652664e-14      -2.933741646168e-13       7.560067218399e-15       5.553608850219e-11       5.997798265081e-12      -8.826507577884e-15 
   50       2.477096481651e-10       2.486911859978e-14      -3.261242123401e-13       7.747760187081e-15       5.315828783835e-11       5.763374280917e-12      -8.706607565133e-15 
   51       2.495004584919e-10       2.617018503293e-14      -3.603572736595e-13       7.931899347514e-15       5.091924386170e-11       5.541062951861e-12      -8.543253275558e-15 
   52       2.513094835670e-10       2.750896717746e-14      -3.959956142534e-13       8.112345201731e-15       4.880434749029e-11       5.330141044659e-12      -8.455398680409e-15 
   53       2.531283676812e-10       2.888470395937e-14      -4.329692566597e-13       8.288964733965e-15       4.679712284107e-11       5.129676902854e-12      -8.549401508037e-15 
   54       2.549614026502e-10       3.029729398293e-14      -4.712865917513e-13       8.461577835540e-15       4.489535094624e-11       4.939642753509e-12      -8.816764395980e-15 
   55       2.568150614980e-10       3.174681407098e-14      -5.109809458149e-13       8.629999018070e-15       4.309835369678e-11       4.760025752119e-12      -9.211635615809e-15 
