# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  487       3.140746074393e-10       1.329916305714e-12      -9.450514287337e-12       6.950943172231e-16       8.056224928017e-14       2.307615467301e-15       8.180927777994e-16 
  488       3.154196682968e-10       1.309479318779e-12      -9.366716616340e-12       6.892489950139e-16       7.998467009298e-14       2.244403128477e-15       8.042426146485e-16 
  489       3.167458301495e-10       1.289401701978e-12      -9.278971697665e-12       6.835729905020e-16       7.941187209046e-14       2.182654005380e-15       7.904076406362e-16 
  490       3.180527479034e-10       1.269691802218e-12      -9.187342572199e-12       6.780645224568e-16       7.884384561308e-14       2.122369277305e-15       7.765888522401e-16 
  491       3.193400741120e-10       1.250358029109e-12      -9.091893814405e-12       6.727217488634e-16       7.828057948132e-14       2.063549866204e-15       7.627872468298e-16 
  492       3.206074589702e-10       1.231408855137e-12      -8.992691540903e-12       6.675427665536e-16       7.772206098495e-14       2.006196434850e-15       7.490038226332e-16 
  493       3.218545503078e-10       1.212852815844e-12      -8.889803419046e-12       6.625256108362e-16       7.716827587233e-14       1.950309385009e-15       7.352395787031e-16 
  494       3.230809935835e-10       1.194698510000e-12      -8.783298675499e-12       6.576682551280e-16       7.661920833978e-14       1.895888855610e-15       7.214955148834e-16 
  495       3.242864318779e-10       1.176954599783e-12      -8.673248104823e-12       6.529686105841e-16       7.607484102086e-14       1.842934720915e-15       7.077726317759e-16 
  496       3.254705058877e-10       1.159629810955e-12      -8.559724078046e-12       6.484245257285e-16       7.553515497568e-14       1.791446588685e-15       6.940719307065e-16 
  497       3.266328539190e-10       1.142732933035e-12      -8.442800551250e-12       6.440337860853e-16       7.500012968024e-14       1.741423798355e-15       6.803944136915e-16 
  498       3.277731118813e-10       1.126272819479e-12      -8.322553074142e-12       6.397941138087e-16       7.446974301572e-14       1.692865419199e-15       6.667410834046e-16 
  499       3.288909132805e-10       1.110258387857e-12      -8.199058798641e-12       6.357031673138e-16       7.394397125781e-14       1.645770248501e-15       6.531129431429e-16 
  500       3.299858892133e-10       1.094698620023e-12      -8.072396487451e-12       6.317585409075e-16       7.342278906603e-14       1.600136809727e-15       6.395109967933e-16 
  501       3.309136444848e-10       1.078290346058e-12      -7.950080338793e-12       0.000000000000e+00       7.290616947303e-14       1.555963350691e-15       6.259362487995e-16 
  502       3.319611842269e-10       1.063688702748e-12      -7.817243545588e-12       0.000000000000e+00       7.239408387393e-14       1.513247841726e-15       6.123897041277e-16 
  503       3.329848103336e-10       1.049568781814e-12      -7.681478914653e-12       0.000000000000e+00       7.188650201560e-14       1.471987973855e-15       5.988723682336e-16 
  504       3.339841454581e-10       1.035939806478e-12      -7.542871976298e-12       0.000000000000e+00       7.138339198600e-14       1.432181156957e-15       5.853852470288e-16 
  505       3.349588098273e-10       1.022811064915e-12      -7.401509919061e-12       0.000000000000e+00       7.088472020350e-14       1.393824517941e-15       5.719293468469e-16 
  506       3.359084212353e-10       1.010191910421e-12      -7.257481598304e-12       0.000000000000e+00       7.039045140618e-14       1.356914898914e-15       5.585056744104e-16 
  507       3.368325950373e-10       9.980917615939e-13      -7.110877544822e-12       0.000000000000e+00       6.990054864116e-14       1.321448855347e-15       5.451152367968e-16 
  508       3.377309441434e-10       9.865201025061e-13      -6.961789973439e-12       0.000000000000e+00       6.941497325389e-14       1.287422654250e-15       5.317590414052e-16 
  509       3.386030790118e-10       9.754864828808e-13      -6.810312791617e-12       0.000000000000e+00       6.893368487751e-14       1.254832272340e-15       5.184380959229e-16 
  510       3.394486076429e-10       9.650005182673e-13      -6.656541608055e-12       0.000000000000e+00       6.845664142211e-14       1.223673394208e-15       5.051534082916e-16 
  511       3.402671355730e-10       9.550718902165e-13      -6.500573741293e-12       0.000000000000e+00       6.798379906409e-14       1.193941410490e-15       4.919059866738e-16 
  512       3.410582658679e-10       9.457103464556e-13      -6.342508228311e-12       0.000000000000e+00       6.751511223546e-14       1.165631416039e-15       4.786968394198e-16 
  513       3.418215991166e-10       9.369257010641e-13      -6.182445833140e-12       0.000000000000e+00       6.705053361315e-14       1.138738208091e-15       4.655269750333e-16 
  514       3.425567334249e-10       9.287278346490e-13      -6.020489055454e-12       0.000000000000e+00       6.659001410834e-14       1.113256284438e-15       4.523974021386e-16 
  515       3.432632644093e-10       9.211266945201e-13      -5.856742139182e-12       0.000000000000e+00       6.613350285575e-14       1.089179841594e-15       4.393091294468e-16 
  516       3.439407851905e-10       9.141322948651e-13      -5.691311081105e-12       0.000000000000e+00       6.568094720300e-14       1.066502772966e-15       4.262631657220e-16 
  517       3.445888863874e-10       9.077547169255e-13      -5.524303639460e-12       0.000000000000e+00       6.523229269986e-14       1.045218667027e-15       4.132605197480e-16 
  518       3.452071561104e-10       9.020041091716e-13      -5.355829342544e-12       0.000000000000e+00       6.478748308764e-14       1.025320805478e-15       4.003022002950e-16 
  519       3.457951799553e-10       8.968906874778e-13      -5.185999497315e-12       0.000000000000e+00       6.434646028844e-14       1.006802161427e-15       3.873892160855e-16 
  520       3.463525409972e-10       8.924247352982e-13      -5.014927197994e-12       0.000000000000e+00       6.390916439451e-14       9.896553975497e-16       3.745225757610e-16 
  521       3.468788197837e-10       8.886166038418e-13      -4.842727334672e-12       0.000000000000e+00       6.347553365755e-14       9.738728642654e-16       3.617032878487e-16 
  522       3.473735943290e-10       8.854767122479e-13      -4.669516601907e-12       0.000000000000e+00       6.304550447802e-14       9.594465979035e-16       3.489323607276e-16 
  523       3.478364401077e-10       8.830155477614e-13      -4.495413507330e-12       0.000000000000e+00       6.261901139446e-14       9.463683188739e-16       3.362108025951e-16 
  524       3.482669300479e-10       8.812436659082e-13      -4.320538380245e-12       0.000000000000e+00       6.219598707282e-14       9.346294298369e-16       3.235396214334e-16 
  525       3.486646345255e-10       8.801716906707e-13      -4.145013380238e-12       0.000000000000e+00       6.177636229573e-14       9.242210138721e-16       3.109198249761e-16 
  526       3.490291213578e-10       8.798103146628e-13      -3.968962505770e-12       0.000000000000e+00       6.136006595189e-14       9.151338326485e-16       2.983524206744e-16 
  527       3.493600517552e-10       8.801684416685e-13      -3.792503007137e-12       0.000000000000e+00       6.094703629963e-14       9.073575539202e-16       2.858384332056e-16 
  528       3.496574711039e-10       8.812475575066e-13      -3.615719347147e-12       0.000000000000e+00       6.053725512156e-14       9.008784142761e-16       2.733789575980e-16 
  529       3.499215262012e-10       8.830472040592e-13      -3.438688538314e-12       0.000000000000e+00       6.013071449207e-14       8.956814882352e-16       2.609751075067e-16 
  530       3.501523700585e-10       8.855668222235e-13      -3.261488678348e-12       0.000000000000e+00       5.972740558254e-14       8.917514509243e-16       2.486279977787e-16 
  531       3.503501619362e-10       8.888057512859e-13      -3.084198955050e-12       0.000000000000e+00       5.932731865548e-14       8.890725759158e-16       2.363387444270e-16 
  532       3.505150673792e-10       8.927632282962e-13      -2.906899651206e-12       0.000000000000e+00       5.893044305878e-14       8.876287330647e-16       2.241084646044e-16 
  533       3.506472582512e-10       8.974383874421e-13      -2.729672149487e-12       0.000000000000e+00       5.853676721980e-14       8.874033863455e-16       2.119382765777e-16 
  534       3.507469127708e-10       9.028302594231e-13      -2.552598937341e-12       0.000000000000e+00       5.814627863964e-14       8.883795916901e-16       1.998292997017e-16 
  535       3.508142155458e-10       9.089377708250e-13      -2.375763611889e-12       0.000000000000e+00       5.775896388721e-14       8.905399948242e-16       1.877826543932e-16 
  536       3.508493576084e-10       9.157597434940e-13      -2.199250884823e-12       0.000000000000e+00       5.737480859352e-14       8.938668291054e-16       1.757994621048e-16 
  537       3.508525364507e-10       9.232948939109e-13      -2.023146587299e-12       0.000000000000e+00       5.699379744577e-14       8.983419133597e-16       1.638808452993e-16 
  538       3.508239560593e-10       9.315418325654e-13      -1.847537674837e-12       0.000000000000e+00       5.661591418157e-14       9.039466497193e-16       1.520279274235e-16 
  539       3.507638269507e-10       9.404990633306e-13      -1.672512232209e-12       0.000000000000e+00       5.624114158312e-14       9.106620214594e-16       1.402418328823e-16 
  540       3.506723662062e-10       9.501649828367e-13      -1.498159478343e-12       0.000000000000e+00       5.586946147137e-14       9.184685908357e-16       1.285236870124e-16 
  541       3.505497975071e-10       9.605378798455e-13      -1.324569771215e-12       0.000000000000e+00       5.550085470020e-14       9.273464969213e-16       1.168746160569e-16 
  542       3.503963511695e-10       9.716159346248e-13      -1.151834612742e-12       0.000000000000e+00       5.513530115061e-14       9.372754534445e-16       1.052957471388e-16 
  543       3.502122641800e-10       9.833972183224e-13      -9.800466536840e-13       0.000000000000e+00       5.477277972489e-14       9.482347466255e-16       9.378820823535e-17 
  544       3.499977802299e-10       9.958796923405e-13      -8.092996985338e-13       0.000000000000e+00       5.441326834079e-14       9.602032330137e-16       8.235312815181e-17 
  545       3.497531497513e-10       1.009061207710e-12      -6.396887104162e-13       0.000000000000e+00       5.405674392571e-14       9.731593373253e-16       7.099163649568e-17 
  546       3.494786299511e-10       1.022939504464e-12      -4.713098159824e-13       0.000000000000e+00       5.370318241089e-14       9.870810502802e-16       5.970486365060e-17 
  547       3.491744848470e-10       1.037512211013e-12      -3.042603103059e-13       0.000000000000e+00       5.335255872553e-14       1.001945926439e-15       4.849394075039e-17 
  548       3.488409853021e-10       1.052776843518e-12      -1.386386617783e-13       0.000000000000e+00       5.300484679106e-14       1.017731082041e-15       3.735999965310e-17 
  549       3.484784090601e-10       1.068730805268e-12       2.545548299498e-14       0.000000000000e+00       5.266001951523e-14       1.034413192841e-15       2.630417291498e-17 
  550       3.480870407802e-10       1.085371386050e-12       1.879212942992e-13       0.000000000000e+00       5.231804878633e-14       1.051968491946e-15       1.532759376455e-17 
  551       3.476671720726e-10       1.102695761523e-12       3.486567544144e-13       0.000000000000e+00       5.197890546737e-14       1.070372767653e-15       4.431396076542e-18 
  552       3.472191015332e-10       1.120700992598e-12       5.075586527197e-13       0.000000000000e+00       5.164255939026e-14       1.089601361287e-15      -6.383285653987e-18 
  553       3.467431347788e-10       1.139384024805e-12       6.645225807978e-13       0.000000000000e+00       5.130897934995e-14       1.109629165036e-15      -1.711531633771e-17 
  554       3.462395844823e-10       1.158741687674e-12       8.194429275389e-13       0.000000000000e+00       5.097813309864e-14       1.130430619791e-15      -2.776356031699e-17 
  555       3.457087704074e-10       1.178770694103e-12       9.722128742455e-13       0.000000000000e+00       5.064998733999e-14       1.151979712980e-15      -3.832688139185e-17 
  556       3.451510194443e-10       1.199467639738e-12       1.122724389736e-12       0.000000000000e+00       5.032450772321e-14       1.174249976410e-15      -4.880414284597e-17 
  557       3.445666656442e-10       1.220829002340e-12       1.270868225450e-12       0.000000000000e+00       5.000165883731e-14       1.197214484098e-15      -5.919420747267e-17 
  558       3.439560502547e-10       1.242851141169e-12       1.416533910552e-12       0.000000000000e+00       4.968140420526e-14       1.220845850115e-15      -6.949593760088e-17 
  559       3.433195217548e-10       1.265530296348e-12       1.559609747035e-12       0.000000000000e+00       4.936370627817e-14       1.245116226415e-15      -7.970819512113e-17 
  560       3.426574358899e-10       1.288862588247e-12       1.699982804826e-12       0.000000000000e+00       4.904852642943e-14       1.269997300683e-15      -8.982984151155e-17 
  561       3.419701557070e-10       1.312844016847e-12       1.837538916890e-12       0.000000000000e+00       4.873582494895e-14       1.295460294161e-15      -9.985973786380e-17 
  562       3.412580515897e-10       1.337470461124e-12       1.972162674333e-12       0.000000000000e+00       4.842556103730e-14       1.321475959493e-15      -1.097967449091e-16 
  563       3.405215012935e-10       1.362737678415e-12       2.103737421509e-12       0.000000000000e+00       4.811769279988e-14       1.348014578559e-15      -1.196397230443e-16 
  564       3.397608899804e-10       1.388641303801e-12       2.232145251122e-12       0.000000000000e+00       4.781217724112e-14       1.375045960314e-15      -1.293875323575e-16 
  565       3.389766102545e-10       1.415176849471e-12       2.357266999330e-12       0.000000000000e+00       4.750897025867e-14       1.402539438623e-15      -1.390390326546e-16 
  566       3.381690735962e-10       1.442338850929e-12       2.478996563729e-12       0.000000000000e+00       4.720803336653e-14       1.430466903937e-15      -1.485933180191e-16 
  567       3.373387449178e-10       1.470118282721e-12       2.597284271970e-12       0.000000000000e+00       4.690935406661e-14       1.458811988407e-15      -1.580504270713e-16 
  568       3.364861089663e-10       1.498505074987e-12       2.712094619198e-12       0.000000000000e+00       4.661292598976e-14       1.487561112802e-15      -1.674106510333e-16 
  569       3.356116590434e-10       1.527488959673e-12       2.823392046591e-12       0.000000000000e+00       4.631874221096e-14       1.516700473023e-15      -1.766743009609e-16 
  570       3.347158970453e-10       1.557059469593e-12       2.931140941814e-12       0.000000000000e+00       4.602679524595e-14       1.546216039082e-15      -1.858417078578e-16 
  571       3.337993335017e-10       1.587205937478e-12       3.035305639486e-12       0.000000000000e+00       4.573707704797e-14       1.576093554064e-15      -1.949132227891e-16 
  572       3.328624876152e-10       1.617917495039e-12       3.135850421637e-12       0.000000000000e+00       4.544957900442e-14       1.606318533109e-15      -2.038892169950e-16 
  573       3.319058873007e-10       1.649183072011e-12       3.232739518166e-12       0.000000000000e+00       4.516429193356e-14       1.636876262374e-15      -2.127700820044e-16 
  574       3.309300692246e-10       1.680991395219e-12       3.325937107304e-12       0.000000000000e+00       4.488120608123e-14       1.667751798011e-15      -2.215562297486e-16 
  575       3.299355788445e-10       1.713330987628e-12       3.415407316071e-12       0.000000000000e+00       4.460031111752e-14       1.698929965138e-15      -2.302480926752e-16 
  576       3.289229704481e-10       1.746190167398e-12       3.501114220740e-12       0.000000000000e+00       4.432159613345e-14       1.730395356808e-15      -2.388461238613e-16 
  577       3.278928071929e-10       1.779557046940e-12       3.583021847292e-12       0.000000000000e+00       4.404504963771e-14       1.762132332981e-15      -2.473507971277e-16 
  578       3.268456611452e-10       1.813419531974e-12       3.661094171881e-12       0.000000000000e+00       4.377065955332e-14       1.794125019498e-15      -2.557626071524e-16 
  579       3.257821133199e-10       1.847765320578e-12       3.735295121289e-12       0.000000000000e+00       4.349841321430e-14       1.826357307053e-15      -2.640820695841e-16 
  580       3.247027537194e-10       1.882581902250e-12       3.805588573390e-12       0.000000000000e+00       4.322829736244e-14       1.858812850160e-15      -2.723097211559e-16 
  581       3.236081813730e-10       1.917856556958e-12       3.871938357608e-12       0.000000000000e+00       4.296029814391e-14       1.891475066129e-15      -2.804461197995e-16 
  582       3.224990043767e-10       1.953576354198e-12       3.934308255377e-12       0.000000000000e+00       4.269440110602e-14       1.924327134036e-15      -2.884918447581e-16 
  583       3.213758399319e-10       1.989728152048e-12       3.992662000602e-12       0.000000000000e+00       4.243059119386e-14       1.957351993696e-15      -2.964474967007e-16 
  584       3.202393143853e-10       2.026298596226e-12       4.046963280116e-12       0.000000000000e+00       4.216885274704e-14       1.990532344632e-15      -3.043136978353e-16 
  585       3.190900632678e-10       2.063274119139e-12       4.097175734145e-12       0.000000000000e+00       4.190916949636e-14       2.023850645050e-15      -3.120910920230e-16 
  586       3.179287313342e-10       2.100640938946e-12       4.143262956762e-12       0.000000000000e+00       4.165152456049e-14       2.057289110807e-15      -3.197803448915e-16 
  587       3.167559726021e-10       2.138385058606e-12       4.185188496353e-12       0.000000000000e+00       4.139590044269e-14       2.090829714386e-15      -3.273821439487e-16 
  588       3.155724503919e-10       2.176492264940e-12       4.222915856072e-12       0.000000000000e+00       4.114227902751e-14       2.124454183866e-15      -3.348971986964e-16 
  589       3.143788373656e-10       2.214948127679e-12       4.256408494303e-12       0.000000000000e+00       4.089064157745e-14       2.158144001893e-15      -3.423262407443e-16 
  590       3.131758155661e-10       2.253737998527e-12       4.285629825120e-12       0.000000000000e+00       4.064096872968e-14       2.191880404655e-15      -3.496700239231e-16 
  591       3.119640764572e-10       2.292847010209e-12       4.310543218748e-12       0.000000000000e+00       4.039324049272e-14       2.225644380846e-15      -3.569293243987e-16 
  592       3.107443209620e-10       2.332260075530e-12       4.331112002019e-12       0.000000000000e+00       4.014743624314e-14       2.259416670649e-15      -3.641049407856e-16 
  593       3.095172595032e-10       2.371961886432e-12       4.347299458838e-12       0.000000000000e+00       3.990353472227e-14       2.293177764698e-15      -3.711976942607e-16 
  594       3.082836120418e-10       2.411936913044e-12       4.359068830636e-12       0.000000000000e+00       3.966151403285e-14       2.326907903053e-15      -3.782084286769e-16 
  595       3.070441081164e-10       2.452169402742e-12       4.366383316836e-12       0.000000000000e+00       3.942135163578e-14       2.360587074172e-15      -3.851380106768e-16 
  596       3.057994868830e-10       2.492643379200e-12       4.369206075311e-12       0.000000000000e+00       3.918302434676e-14       2.394195013884e-15      -3.919873298065e-16 
  597       3.045504971543e-10       2.533342641450e-12       4.367500222841e-12       0.000000000000e+00       3.894650833303e-14       2.427711204358e-15      -3.987572986291e-16 
  598       3.032978974385e-10       2.574250762934e-12       4.361228835576e-12       0.000000000000e+00       3.871177911003e-14       2.461114873075e-15      -4.054488528384e-16 
  599       3.020424559791e-10       2.615351090559e-12       4.350354949498e-12       0.000000000000e+00       3.847881153811e-14       2.494384991801e-15      -4.120629513728e-16 
  600       3.007849507943e-10       2.656626743754e-12       4.334841560874e-12       0.000000000000e+00       3.824757981922e-14       2.527500275559e-15      -4.186005765287e-16 
  601       2.995261697160e-10       2.698060613523e-12       4.314651626723e-12       0.000000000000e+00       3.801805749361e-14       2.560439181598e-15      -4.250627340743e-16 
  602       2.982669104294e-10       2.739635361505e-12       4.289748065272e-12       0.000000000000e+00       3.779021743650e-14       2.593179908366e-15      -4.314504533633e-16 
  603       2.970079805124e-10       2.781333419021e-12       4.260093756419e-12       0.000000000000e+00       3.756403185482e-14       2.625700394485e-15      -4.377647874486e-16 
  604       2.957501974745e-10       2.823136986138e-12       4.225651542188e-12       0.000000000000e+00       3.733947228385e-14       2.657978317716e-15      -4.440068131959e-16 
  605       2.944943249950e-10       2.865028859708e-12       4.186395607036e-12       0.000000000000e+00       3.711651378919e-14       2.689995656861e-15      -4.501772920577e-16 
  606       2.932408798684e-10       2.906994941313e-12       4.142345918790e-12       0.000000000000e+00       3.689514769030e-14       2.721752500179e-15      -4.562756431945e-16 
  607       2.919903204879e-10       2.949021787846e-12       4.093534617927e-12       0.000000000000e+00       3.667536913681e-14       2.753253567431e-15      -4.623009458516e-16 
  608       2.907431102448e-10       2.991095787313e-12       4.039994716974e-12       0.000000000000e+00       3.645717292904e-14       2.784503677515e-15      -4.682522764636e-16 
  609       2.894997175469e-10       3.033203158161e-12       3.981760104686e-12       0.000000000000e+00       3.624055351611e-14       2.815507748933e-15      -4.741287086569e-16 
  610       2.882606158370e-10       3.075329948603e-12       3.918865550236e-12       0.000000000000e+00       3.602550499399e-14       2.846270800253e-15      -4.799293132526e-16 
  611       2.870262836114e-10       3.117462035945e-12       3.851346707397e-12       0.000000000000e+00       3.581202110359e-14       2.876797950576e-15      -4.856531582686e-16 
  612       2.857972044384e-10       3.159585125914e-12       3.779240118729e-12       0.000000000000e+00       3.560009522880e-14       2.907094420002e-15      -4.912993089228e-16 
  613       2.845738669764e-10       3.201684751983e-12       3.702583219760e-12       0.000000000000e+00       3.538972039459e-14       2.937165530092e-15      -4.968668276353e-16 
  614       2.833567649930e-10       3.243746274699e-12       3.621414343174e-12       0.000000000000e+00       3.518088926505e-14       2.967016704336e-15      -5.023547740310e-16 
  615       2.821463973829e-10       3.285754881005e-12       3.535772722992e-12       0.000000000000e+00       3.497359414149e-14       2.996653468617e-15      -5.077622049424e-16 
  616       2.809432681867e-10       3.327695583576e-12       3.445698498761e-12       0.000000000000e+00       3.476782696051e-14       3.026081451675e-15      -5.130881744124e-16 
  617       2.797478866090e-10       3.369553220134e-12       3.351232719736e-12       0.000000000000e+00       3.456357929203e-14       3.055306385574e-15      -5.183317336962e-16 
  618       2.785607670373e-10       3.411312452784e-12       3.252417349065e-12       0.000000000000e+00       3.436084233742e-14       3.084334106169e-15      -5.234919312649e-16 
  619       2.773824290602e-10       3.452957767334e-12       3.149295267974e-12       0.000000000000e+00       3.415960692750e-14       3.113170553564e-15      -5.285678128072e-16 
  620       2.762133974859e-10       3.494473472627e-12       3.041910279951e-12       0.000000000000e+00       3.395986352067e-14       3.141821772585e-15      -5.335584212326e-16 
  621       2.750542023607e-10       3.535843699864e-12       2.930307114931e-12       0.000000000000e+00       3.376160220098e-14       3.170293913241e-15      -5.384627966737e-16 
  622       2.739053789873e-10       3.577052401929e-12       2.814531433480e-12       0.000000000000e+00       3.356481267614e-14       3.198593231189e-15      -5.432799764890e-16 
  623       2.727674679436e-10       3.618083352722e-12       2.694629830982e-12       0.000000000000e+00       3.336948427566e-14       3.226726088201e-15      -5.480089952654e-16 
  624       2.716410151009e-10       3.658920146478e-12       2.570649841821e-12       0.000000000000e+00       3.317560594886e-14       3.254698952628e-15      -5.526488848208e-16 
  625       2.705265716422e-10       3.699546197099e-12       2.442639943565e-12       0.000000000000e+00       3.298316626299e-14       3.282518399865e-15      -5.571986742070e-16 
  626       2.694246940811e-10       3.739944737478e-12       2.310649561154e-12       0.000000000000e+00       3.279215340129e-14       3.310191112818e-15      -5.616573897119e-16 
  627       2.683359442800e-10       3.780098818826e-12       2.174729071083e-12       0.000000000000e+00       3.260255516102e-14       3.337723882364e-15      -5.660240548621e-16 
  628       2.672608894686e-10       3.819991310000e-12       2.034929805585e-12       0.000000000000e+00       3.241435895158e-14       3.365123607823e-15      -5.702976904261e-16 
  629       2.662001022623e-10       3.859604896825e-12       1.891304056818e-12       0.000000000000e+00       3.222755179256e-14       3.392397297419e-15      -5.744773144163e-16 
  630       2.651541606806e-10       3.898922081428e-12       1.743905081048e-12       0.000000000000e+00       3.204212031181e-14       3.419552068744e-15      -5.785619420918e-16 
  631       2.641236481660e-10       3.937925181556e-12       1.592787102834e-12       0.000000000000e+00       3.185805074351e-14       3.446595149227e-15      -5.825505859610e-16 
  632       2.631091536019e-10       3.976596329912e-12       1.438005319215e-12       0.000000000000e+00       3.167532892623e-14       3.473533876598e-15      -5.864422557845e-16 
  633       2.621112713312e-10       4.014917473470e-12       1.279615903890e-12       0.000000000000e+00       3.149394030103e-14       3.500375699349e-15      -5.902359585771e-16 
  634       2.611306011753e-10       4.052870372815e-12       1.117676011407e-12       0.000000000000e+00       3.131386990951e-14       3.527128177204e-15      -5.939306986112e-16 
  635       2.601677484515e-10       4.090436601456e-12       9.522437813433e-13       0.000000000000e+00       3.113510239186e-14       3.553798981584e-15      -5.975254774186e-16 
  636       2.592233239927e-10       4.127597545164e-12       7.833783424960e-13       0.000000000000e+00       3.095762198497e-14       3.580395896069e-15      -6.010192937936e-16 
  637       2.582979441648e-10       4.164334401291e-12       6.111398170608e-13       0.000000000000e+00       3.078141252049e-14       3.606926816865e-15      -6.044111437958e-16 
  638       2.573922308857e-10       4.200628178100e-12       4.355893248200e-13       0.000000000000e+00       3.060645742288e-14       3.633399753269e-15      -6.077000207520e-16 
  639       2.565068116438e-10       4.236459694090e-12       2.567889873260e-13       0.000000000000e+00       3.043273970749e-14       3.659822828133e-15      -6.108849152595e-16 
  640       2.556423195162e-10       4.271809577324e-12       7.480193208612e-14       0.000000000000e+00       3.026024197864e-14       3.686204278332e-15      -6.139648151884e-16 
  641       2.547993931873e-10       4.306658264755e-12      -1.103077032528e-13       0.000000000000e+00       3.008894642768e-14       3.712552455225e-15      -6.169387056842e-16 
  642       2.539786769672e-10       4.340986001551e-12      -2.984747667195e-13       0.000000000000e+00       2.991883483107e-14       3.738875825125e-15      -6.198055691705e-16 
  643       2.531808208104e-10       4.374772840425e-12      -4.896330878343e-13       0.000000000000e+00       2.974988854843e-14       3.765182969758e-15      -6.225643853517e-16 
  644       2.524063912360e-10       4.408000751557e-12      -6.837137939544e-13       0.000000000000e+00       2.958209117088e-14       3.791479930601e-15      -6.252144506684e-16 
  645       2.516556018394e-10       4.440660006164e-12      -8.806402259562e-13       0.000000000000e+00       2.941543653565e-14       3.817762174946e-15      -6.277563445958e-16 
  646       2.509285767187e-10       4.472742936061e-12      -1.080332899219e-12       0.000000000000e+00       2.924992088901e-14       3.844022448944e-15      -6.301909852182e-16 
  647       2.502254390132e-10       4.504241836078e-12      -1.282711168019e-12       0.000000000000e+00       2.908554025129e-14       3.870253416973e-15      -6.325193118506e-16 
  648       2.495463108961e-10       4.535148963996e-12      -1.487693220856e-12       0.000000000000e+00       2.892229041571e-14       3.896447661343e-15      -6.347422851332e-16 
  649       2.488913135671e-10       4.565456540483e-12      -1.695196075788e-12       0.000000000000e+00       2.876016694724e-14       3.922597681986e-15      -6.368608871264e-16 
  650       2.482605672456e-10       4.595156749029e-12      -1.905135575758e-12       0.000000000000e+00       2.859916518139e-14       3.948695896159e-15      -6.388761214060e-16 
  651       2.476541911626e-10       4.624241735886e-12      -2.117426383924e-12       0.000000000000e+00       2.843928022310e-14       3.974734638138e-15      -6.407890131580e-16 
  652       2.470723035542e-10       4.652703610001e-12      -2.331981978994e-12       0.000000000000e+00       2.828050694553e-14       4.000706158921e-15      -6.426006092730e-16 
  653       2.465150216539e-10       4.680534442953e-12      -2.548714650549e-12       0.000000000000e+00       2.812283998893e-14       4.026602625921e-15      -6.443119784418e-16 
  654       2.459824616854e-10       4.707726268889e-12      -2.767535494379e-12       0.000000000000e+00       2.796627375945e-14       4.052416122664e-15      -6.459242112500e-16 
  655       2.454747388553e-10       4.734271084462e-12      -2.988354407812e-12       0.000000000000e+00       2.781080242798e-14       4.078138648490e-15      -6.474384202727e-16 
  656       2.449919673461e-10       4.760160848766e-12      -3.211080085039e-12       0.000000000000e+00       2.765641992902e-14       4.103762118249e-15      -6.488557401699e-16 
  657       2.445342603084e-10       4.785387483270e-12      -3.435620012454e-12       0.000000000000e+00       2.750311995946e-14       4.129278361998e-15      -6.501773277809e-16 
  658       2.441017298540e-10       4.809942871760e-12      -3.661880463975e-12       0.000000000000e+00       2.735089597746e-14       4.154679124700e-15      -6.514043622193e-16 
  659       2.436944870486e-10       4.833818860269e-12      -3.889766496378e-12       0.000000000000e+00       2.719974120126e-14       4.179956065920e-15      -6.525380449682e-16 
  660       2.433126419045e-10       4.857007257019e-12      -4.119181944629e-12       0.000000000000e+00       2.704964860804e-14       4.205100759527e-15      -6.535795999748e-16 
  661       2.429563033730e-10       4.879499832353e-12      -4.350029417210e-12       0.000000000000e+00       2.690061093272e-14       4.230104693386e-15      -6.545302737454e-16 
  662       2.426255793377e-10       4.901288318672e-12      -4.582210291453e-12       0.000000000000e+00       2.675262066684e-14       4.254959269060e-15      -6.553913354404e-16 
  663       2.423205766067e-10       4.922364410373e-12      -4.815624708867e-12       0.000000000000e+00       2.660567005737e-14       4.279655801506e-15      -6.561640769690e-16 
  664       2.420414009057e-10       4.942719763784e-12      -5.050171570472e-12       0.000000000000e+00       2.645975110552e-14       4.304185518773e-15      -6.568498130841e-16 
  665       2.417881568704e-10       4.962345997102e-12      -5.285748532125e-12       0.000000000000e+00       2.631485556566e-14       4.328539561702e-15      -6.574498814775e-16 
  666       2.415609480395e-10       4.981234690325e-12      -5.522251999852e-12       0.000000000000e+00       2.617097494404e-14       4.352708983619e-15      -6.579656428745e-16 
  667       2.413598768471e-10       4.999377385195e-12      -5.759577125180e-12       0.000000000000e+00       2.602810049774e-14       4.376684750038e-15      -6.583984811289e-16 
  668       2.411850446159e-10       5.016765585126e-12      -5.997617800463e-12       0.000000000000e+00       2.588622323342e-14       4.400457738354e-15      -6.587498033178e-16 
